자전거번호,대여일시,대여소번호,대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-23220,2019-11-01 8:48,646,장한평역 1번출구 (국민은행앞),3,2019-11-01 9:01,3,중랑센터,7,12,1100
SPB-16216,2019-11-04 8:38,646,장한평역 1번출구 (국민은행앞),2,2019-11-04 8:56,3,중랑센터,2,7,1420
SPB-21097,2019-11-04 8:46,646,장한평역 1번출구 (국민은행앞),1,2019-11-04 8:57,3,중랑센터,7,10,
SPB-22292,2019-11-05 8:34,646,장한평역 1번출구 (국민은행앞),1,2019-11-05 8:45,3,중랑센터,,10,1380
SPB-07935,2019-11-05 12:29,512,뚝섬역 1번 출구 옆,11,2019-11-05 12:39,3,중랑센터,7,10,1650
SPB-18401,2019-11-06 8:52,646,장한평역 1번출구 (국민은행앞),1,2019-11-06 9:09,3,중랑센터,7,11,1350
SPB-18350,2019-11-06 8:35,646,장한평역 1번출구 (국민은행앞),1,2019-11-06 9:10,3,중랑센터,2,9,1390
SPB-11557,2019-11-08 14:52,3,중랑센터,7,2019-11-08 15:40,3,중랑센터,7,47,0
SPB-20220,2019-11-11 8:35,646,장한평역 1번출구 (국민은행앞),2,2019-11-11 8:42,3,중랑센터,2,6,1160
SPB-20102,2019-11-11 9:45,646,장한평역 1번출구 (국민은행앞),8,2019-11-11 10:17,3,중랑센터,7,30,1060
SPB-10000,2019-11-12 8:35,646,장한평역 1번출구 (국민은행앞),8,2019-11-12 8:44,3,중랑센터,2,8,1300
SPB-20145,2019-11-13 8:30,646,장한평역 1번출구 (국민은행앞),9,2019-11-13 8:38,3,중랑센터,2,,1060
SPB-19057,2019-11-13 8:55,646,장한평역 1번출구 (국민은행앞),4,2019-11-13 9:08,3,중랑센터,7,11,
SPB-19645,2019-11-14 9:44,646,장한평역 1번출구 (국민은행앞),,2019-11-14 10:01,3,중랑센터,7,16,1140
SPB-21851,2019-11-14 9:33,646,장한평역 1번출구 (국민은행앞),10,2019-11-14 10:02,3,중랑센터,2,28,1220
SPB-13973,2019-11-15 8:42,646,장한평역 1번출구 (국민은행앞),1,2019-11-15 8:50,3,중랑센터,2,6,1370
SPB-22311,2019-11-18 8:32,646,장한평역 1번출구 (국민은행앞),6,2019-11-18 8:39,3,중랑센터,2,,1350
SPB-02270,2019-11-18 8:49,646,장한평역 1번출구 (국민은행앞),4,2019-11-18 9:01,3,중랑센터,7,11,1350
SPB-23659,2019-11-21 8:36,646,장한평역 1번출구 (국민은행앞),,2019-11-21 8:44,3,중랑센터,2,6,1130
SPB-23497,2019-11-21 8:50,646,장한평역 1번출구 (국민은행앞),2,2019-11-21 9:04,3,중랑센터,7,13,1330
SPB-21925,2019-11-22 8:49,529,장한평역 8번 출구 앞,5,2019-11-22 9:04,3,중랑센터,7,13,1030
SPB-21810,2019-11-25 8:41,646,장한평역 1번출구 (국민은행앞),5,2019-11-25 8:49,3,중랑센터,2,7,1310
SPB-05857,2019-11-26 8:40,646,장한평역 1번출구 (국민은행앞),6,2019-11-26 8:48,3,중랑센터,2,,1380
SPB-19256,2019-11-26 10:20,3,중랑센터,7,2019-11-26 10:24,3,중랑센터,,3,
